[2018-10-10 01:15:11] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => report/export/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"04d8140"}
[2018-10-10 01:16:10] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => report/export/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"08c419f"}
[2018-10-10 01:33:22] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => report/export/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"ce7e0a8"}
[2018-10-10 01:33:22] slim-app.ERROR: Exception ::  {"error_msg":"[object] (Illuminate\\Database\\QueryException(code: 1045): SQLSTATE[HY000] [1045] Access denied for user 'root'@'localhost' (using password: NO) (SQL: select * from `Commodity_Standards` where `status` = Active and `years` = 2561 order by `standardID` desc) at /var/www/html/acfs/services/vendor/illuminate/database/Connection.php:647, PDOException(code: 1045): SQLSTATE[HY000] [1045] Access denied for user 'root'@'localhost' (using password: NO) at /var/www/html/acfs/services/vendor/illuminate/database/Connectors/Connector.php:68)"} {"uid":"ce7e0a8"}
[2018-10-10 01:33:51] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => questionnaire/list/active/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"bd693d0"}
[2018-10-10 01:33:51] slim-app.ERROR: Exception ::  {"error_msg":"[object] (Illuminate\\Database\\QueryException(code: 1045): SQLSTATE[HY000] [1045] Access denied for user 'root'@'localhost' (using password: NO) (SQL: select * from `Questionnaires`) at /var/www/html/acfs/services/vendor/illuminate/database/Connection.php:647, PDOException(code: 1045): SQLSTATE[HY000] [1045] Access denied for user 'root'@'localhost' (using password: NO) at /var/www/html/acfs/services/vendor/illuminate/database/Connectors/Connector.php:68)"} {"uid":"bd693d0"}
[2018-10-10 01:33:51] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => subcommittee/list/active/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"e43f015"}
[2018-10-10 01:33:51] slim-app.ERROR: Exception ::  {"error_msg":"[object] (Illuminate\\Database\\QueryException(code: 1045): SQLSTATE[HY000] [1045] Access denied for user 'root'@'localhost' (using password: NO) (SQL: select * from `Subcommittee`) at /var/www/html/acfs/services/vendor/illuminate/database/Connection.php:647, PDOException(code: 1045): SQLSTATE[HY000] [1045] Access denied for user 'root'@'localhost' (using password: NO) at /var/www/html/acfs/services/vendor/illuminate/database/Connectors/Connector.php:68)"} {"uid":"e43f015"}
[2018-10-10 01:33:51] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => commodity-standard/list/active/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"c685466"}
[2018-10-10 01:33:51] slim-app.ERROR: Exception ::  {"error_msg":"[object] (Illuminate\\Database\\QueryException(code: 1045): SQLSTATE[HY000] [1045] Access denied for user 'root'@'localhost' (using password: NO) (SQL: select * from `Commodity_Standards` where `status` = Active and `years` = 543 order by `standardID` desc) at /var/www/html/acfs/services/vendor/illuminate/database/Connection.php:647, PDOException(code: 1045): SQLSTATE[HY000] [1045] Access denied for user 'root'@'localhost' (using password: NO) at /var/www/html/acfs/services/vendor/illuminate/database/Connectors/Connector.php:68)"} {"uid":"c685466"}
[2018-10-10 01:33:55] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => commodity-standard/list/active/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"24becf3"}
[2018-10-10 01:33:55] slim-app.ERROR: Exception ::  {"error_msg":"[object] (Illuminate\\Database\\QueryException(code: 1045): SQLSTATE[HY000] [1045] Access denied for user 'root'@'localhost' (using password: NO) (SQL: select * from `Commodity_Standards` where `status` = Active and `years` = 543 order by `standardID` desc) at /var/www/html/acfs/services/vendor/illuminate/database/Connection.php:647, PDOException(code: 1045): SQLSTATE[HY000] [1045] Access denied for user 'root'@'localhost' (using password: NO) at /var/www/html/acfs/services/vendor/illuminate/database/Connectors/Connector.php:68)"} {"uid":"24becf3"}
[2018-10-10 01:33:55] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => questionnaire/list/active/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"67e6c89"}
[2018-10-10 01:33:55] slim-app.ERROR: Exception ::  {"error_msg":"[object] (Illuminate\\Database\\QueryException(code: 1045): SQLSTATE[HY000] [1045] Access denied for user 'root'@'localhost' (using password: NO) (SQL: select * from `Questionnaires`) at /var/www/html/acfs/services/vendor/illuminate/database/Connection.php:647, PDOException(code: 1045): SQLSTATE[HY000] [1045] Access denied for user 'root'@'localhost' (using password: NO) at /var/www/html/acfs/services/vendor/illuminate/database/Connectors/Connector.php:68)"} {"uid":"67e6c89"}
[2018-10-10 01:33:55] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => subcommittee/list/active/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"71490be"}
[2018-10-10 01:33:55] slim-app.ERROR: Exception ::  {"error_msg":"[object] (Illuminate\\Database\\QueryException(code: 1045): SQLSTATE[HY000] [1045] Access denied for user 'root'@'localhost' (using password: NO) (SQL: select * from `Subcommittee`) at /var/www/html/acfs/services/vendor/illuminate/database/Connection.php:647, PDOException(code: 1045): SQLSTATE[HY000] [1045] Access denied for user 'root'@'localhost' (using password: NO) at /var/www/html/acfs/services/vendor/illuminate/database/Connectors/Connector.php:68)"} {"uid":"71490be"}
[2018-10-10 01:34:13] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => meeting/list/home/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"97ea1e8"}
[2018-10-10 01:34:13] slim-app.ERROR: Exception ::  {"error_msg":"[object] (Illuminate\\Database\\QueryException(code: 1045): SQLSTATE[HY000] [1045] Access denied for user 'root'@'localhost' (using password: NO) (SQL: select * from `Meetings` inner join `Meeting_attendees` on `Meeting_attendees`.`meetingID` = `Meetings`.`meetingID` group by `Meetings`.`meetingID`) at /var/www/html/acfs/services/vendor/illuminate/database/Connection.php:647, PDOException(code: 1045): SQLSTATE[HY000] [1045] Access denied for user 'root'@'localhost' (using password: NO) at /var/www/html/acfs/services/vendor/illuminate/database/Connectors/Connector.php:68)"} {"uid":"97ea1e8"}
[2018-10-10 01:34:14] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => commodity-standard/list/home/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"0c9f4dd"}
[2018-10-10 01:34:14] slim-app.ERROR: Exception ::  {"error_msg":"[object] (Illuminate\\Database\\QueryException(code: 1045): SQLSTATE[HY000] [1045] Access denied for user 'root'@'localhost' (using password: NO) (SQL: select count(*) as aggregate from `Commodity_Standards` where 1 = 1 and (`step` in (1, 2, 3, 4, 5, 6, 7, 8) and `status` = Active)) at /var/www/html/acfs/services/vendor/illuminate/database/Connection.php:647, PDOException(code: 1045): SQLSTATE[HY000] [1045] Access denied for user 'root'@'localhost' (using password: NO) at /var/www/html/acfs/services/vendor/illuminate/database/Connectors/Connector.php:68)"} {"uid":"0c9f4dd"}
[2018-10-10 01:35:46] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => commodity-standard/list/home/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"51b3220"}
[2018-10-10 01:35:47] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => meeting/list/home/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"97dbb64"}
[2018-10-10 01:35:48] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => questionnaire/list/active/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"7c70053"}
[2018-10-10 01:35:48] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => commodity-standard/list/active/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"01955f4"}
[2018-10-10 01:35:48] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => subcommittee/list/active/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"efa4a7e"}
[2018-10-10 01:35:52] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => report/export/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"0d5e881"}
[2018-10-10 01:36:39] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => report/export/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"e30b1ad"}
[2018-10-10 01:37:22] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => report/export/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"e43564b"}
[2018-10-10 01:37:35] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => commodity-standard/list/active/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"5dd7a7d"}
[2018-10-10 01:37:35] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => questionnaire/list/active/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"c54cc06"}
[2018-10-10 01:37:35] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => subcommittee/list/active/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"6d66d92"}
[2018-10-10 01:37:38] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => report/export/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"7b9de59"}
[2018-10-10 01:37:57] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => commodity-standard/list/active/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"57335d9"}
[2018-10-10 01:37:57] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => subcommittee/list/active/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"d5b23d3"}
[2018-10-10 01:37:57] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => questionnaire/list/active/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"96920fe"}
[2018-10-10 01:38:00] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => report/export/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"080c7c1"}
[2018-10-10 01:38:20] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => commodity-standard/list/active/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"17a0f23"}
[2018-10-10 01:38:20] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => subcommittee/list/active/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"b9d87c3"}
[2018-10-10 01:38:20] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => questionnaire/list/active/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"8ed6504"}
[2018-10-10 01:38:24] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => report/export/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"d35161e"}
[2018-10-10 01:38:46] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => report/export/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"90798dc"}
[2018-10-10 01:39:04] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => commodity-standard/list/active/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"3cc9504"}
[2018-10-10 01:39:04] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => questionnaire/list/active/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"dfac8b3"}
[2018-10-10 01:39:04] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => subcommittee/list/active/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"8606667"}
[2018-10-10 01:39:07] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => report/export/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"3c7d8f1"}
[2018-10-10 01:40:12] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => report/export/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"6250e7a"}
[2018-10-10 01:40:59] slim-app.INFO: IP => 192.168.1.1 : METHOD => POST : ACTION => report/export/ : FROM => Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15 [] {"uid":"2f99596"}
